,Id,Use,Cat,Bird
0,training_background_0000047,Train,0,0
1,training_background_0000051,Train,0,0
2,training_background_0000059,Train,0,0
3,training_background_0000072,Train,0,0
4,training_background_0000087,Train,0,0
5,training_background_0000176,Train,0,0
6,training_background_0000382,Train,0,0
7,training_background_0000631,Train,0,0
8,training_background_0000643,Train,0,0
9,training_background_0000697,Train,0,0
10,training_background_0000759,Train,0,0
11,training_background_0000794,Train,0,0
12,training_background_0000952,Train,0,0
13,training_background_0001677,Train,0,0
14,training_background_0002136,Train,0,0
15,training_background_0002395,Train,0,0
16,training_background_0002755,Train,0,0
17,training_background_0003178,Train,0,0
18,training_background_0003423,Train,0,0
19,training_background_0003463,Train,0,0
20,training_background_0003728,Train,0,0
21,training_background_0003793,Train,0,0
22,training_background_0003957,Train,0,0
23,training_background_0004028,Train,0,0
24,training_background_0004069,Train,0,0
25,training_background_0004294,Train,0,0
26,training_background_0004498,Train,0,0
27,training_background_0004774,Train,0,0
28,training_background_0005074,Train,0,0
29,training_background_0005079,Train,0,0
30,training_background_0005633,Train,0,0
31,training_background_0006575,Train,0,0
32,training_background_0007323,Train,0,0
33,training_background_0007545,Train,0,0
34,training_background_0007932,Train,0,0
35,training_background_0009212,Train,0,0
36,training_background_0010830,Train,0,0
37,training_background_0010950,Train,0,0
38,training_background_0011003,Train,0,0
39,training_background_0011033,Train,0,0
40,training_background_0011073,Train,0,0
41,training_background_0011088,Train,0,0
42,training_background_0011116,Train,0,0
43,training_background_0011154,Train,0,0
44,training_background_0100026,Train,0,0
45,training_background_0100030,Train,0,0
46,training_background_0100061,Train,0,0
47,training_background_0100091,Train,0,0
48,training_background_0100113,Train,0,0
49,training_background_0100132,Train,0,0
50,training_background_0100164,Train,0,0
51,training_background_0100241,Train,0,0
52,training_background_0100477,Train,0,0
53,training_background_0100579,Train,0,0
54,training_background_0100628,Train,0,0
55,training_background_0100740,Train,0,0
56,training_background_0100787,Train,0,0
57,training_background_0100822,Train,0,0
58,training_background_0100851,Train,0,0
59,training_background_0100855,Train,0,0
60,training_background_0100892,Train,0,0
61,training_background_0100935,Train,0,0
62,training_background_0101060,Train,0,0
63,training_background_0101121,Train,0,0
64,training_background_0101434,Train,0,0
65,training_background_0101463,Train,0,0
66,training_background_0101488,Train,0,0
67,training_background_0101492,Train,0,0
68,training_background_0101801,Train,0,0
69,training_background_0102039,Train,0,0
70,training_background_0102170,Train,0,0
71,training_background_0102234,Train,0,0
72,training_background_0102403,Train,0,0
73,training_background_0102435,Train,0,0
74,training_background_0102436,Train,0,0
75,training_background_0102534,Train,0,0
76,training_background_0102544,Train,0,0
77,training_background_0102566,Train,0,0
78,training_background_0103256,Train,0,0
79,training_background_0103344,Train,0,0
80,training_background_0103420,Train,0,0
81,training_background_0103468,Train,0,0
82,training_background_0103740,Train,0,0
83,training_background_0104019,Train,0,0
84,training_background_0104194,Train,0,0
85,training_background_0104439,Train,0,0
86,training_background_0104463,Train,0,0
87,training_background_0104552,Train,0,0
88,training_background_0104808,Train,0,0
89,training_background_0104958,Train,0,0
90,training_background_0105003,Train,0,0
91,training_background_0105064,Train,0,0
92,training_background_0105146,Train,0,0
93,training_background_0105159,Train,0,0
94,training_background_0105305,Train,0,0
95,training_background_1000061,Train,0,0
96,training_background_1000063,Train,0,0
97,training_background_1000097,Train,0,0
98,training_background_1000105,Train,0,0
99,training_background_1000288,Train,0,0
100,training_background_1000351,Train,0,0
101,training_background_1000413,Train,0,0
102,training_background_1000505,Train,0,0
103,training_background_1000580,Train,0,0
104,training_background_1000615,Train,0,0
105,training_background_1000731,Train,0,0
106,training_background_1000875,Train,0,0
107,training_background_1000882,Train,0,0
108,training_background_1000929,Train,0,0
109,training_background_1000947,Train,0,0
110,training_background_1000993,Train,0,0
111,training_background_1001184,Train,0,0
112,training_background_1001195,Train,0,0
113,training_background_1001252,Train,0,0
114,training_background_1001685,Train,0,0
115,training_background_1001688,Train,0,0
116,training_background_1001770,Train,0,0
117,training_background_1001794,Train,0,0
118,training_background_1001875,Train,0,0
119,training_background_1001944,Train,0,0
120,training_background_1100001,Train,0,0
121,training_background_1100002,Train,0,0
122,training_background_1100003,Train,0,0
123,training_background_1100004,Train,0,0
124,training_background_1100005,Train,0,0
125,training_background_1100006,Train,0,0
126,training_background_1100007,Train,0,0
127,training_background_1100008,Train,0,0
128,training_background_1100009,Train,0,0
129,training_background_1100011,Train,0,0
130,training_background_1100013,Train,0,0
131,training_background_1100014,Train,0,0
132,training_background_1100015,Train,0,0
133,training_background_1100016,Train,0,0
134,training_background_1100017,Train,0,0
135,training_background_1100023,Train,0,0
136,training_background_1100025,Train,0,0
137,training_background_1100027,Train,0,0
138,training_background_1100029,Train,0,0
139,training_background_1100030,Train,0,0
140,training_background_1100031,Train,0,0
141,training_background_2000001,Train,0,0
142,training_background_2000002,Train,0,0
143,training_background_2000003,Train,0,0
144,training_background_2000004,Train,0,0
145,training_background_2000008,Train,0,0
146,training_background_2000012,Train,0,0
147,training_background_2000019,Train,0,0
148,training_background_2000022,Train,0,0
149,training_background_2000023,Train,0,0
150,training_background_2000025,Train,0,0
151,training_background_2000028,Train,0,0
152,training_background_2000030,Train,0,0
153,training_background_2000031,Train,0,0
154,training_background_2000032,Train,0,0
155,training_background_2000033,Train,0,0
156,training_background_2000034,Train,0,0
157,training_background_2000035,Train,0,0
158,training_background_2000036,Train,0,0
159,training_background_2000037,Train,0,0
160,training_background_2000039,Train,0,0
161,training_background_2000041,Train,0,0
162,training_background_2000042,Train,0,0
163,training_background_2000043,Train,0,0
164,training_background_2000044,Train,0,0
165,training_background_3000072,Train,0,0
166,training_background_3000076,Train,0,0
167,training_background_3000099,Train,0,0
168,training_background_3000119,Train,0,0
169,training_background_3000148,Train,0,0
170,training_background_3000299,Train,0,0
171,training_background_3000323,Train,0,0
172,training_background_3000454,Train,0,0
173,training_background_3000469,Train,0,0
174,training_background_3000676,Train,0,0
175,training_background_3000716,Train,0,0
176,training_background_3000759,Train,0,0
177,training_background_3000945,Train,0,0
178,training_background_3001004,Train,0,0
179,training_background_3001018,Train,0,0
180,training_background_3001061,Train,0,0
181,training_background_3001131,Train,0,0
182,training_background_3001230,Train,0,0
183,training_background_3001319,Train,0,0
